collection_id,vm_id,name,value,time_stamp
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.540875,2024-04-03 16:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.463166666666667,2024-04-03 17:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.413875,2024-04-03 18:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.4195,2024-04-03 19:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.595208333333333,2024-04-03 20:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.55125,2024-04-03 21:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.416666666666667,2024-04-03 22:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.458458333333334,2024-04-03 23:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.4859583333333335,2024-04-04 00:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.801541666666666,2024-04-04 01:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.485833333333333,2024-04-04 02:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.695708333333333,2024-04-04 03:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.62675,2024-04-04 04:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.5225,2024-04-04 05:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.466541666666667,2024-04-04 06:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.42525,2024-04-04 07:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.475750000000001,2024-04-04 08:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.449708333333334,2024-04-04 09:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.571041666666667,2024-04-04 10:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.412983193277311,2024-04-04 11:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.498916666666667,2024-04-04 12:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.604166666666667,2024-04-04 13:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.485416666666667,2024-04-04 14:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.413333333333333,2024-04-04 15:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.5884583333333335,2024-04-04 16:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.424416666666667,2024-04-04 17:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.442166666666666,2024-04-04 18:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.427666666666667,2024-04-04 19:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.421125,2024-04-04 20:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.758791666666666,2024-04-04 21:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.474291666666667,2024-04-04 22:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.624291666666666,2024-04-04 23:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.4567499999999995,2024-04-05 00:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.615708333333333,2024-04-05 01:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.623125,2024-04-05 02:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.514375,2024-04-05 03:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.4707083333333335,2024-04-05 04:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.519083333333333,2024-04-05 05:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.439333333333334,2024-04-05 06:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.693432203389831,2024-04-05 07:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.631375,2024-04-05 08:55:00+00:00
0a1e34c5-ce1a-491c-a3a4-b9f36582a7fb,K8s-cp,Percentage CPU,5.767541666666667,2024-04-05 09:55:00+00:00
